0,0.234,-0.115,0.045
0.05,0.234,0.015,0.065
0.1,0.234,0.045,0.065
0.15,0.234,0.045,0.085
0.2,0.234,0.055,0.105
0.25,0.234,0.055,0.105
0.3,0.234,0.065,0.105
0.35,0.234,0.065,0.105
0.4,0.234,0.075,0.105
0.45,0.234,0.065,0.105
0.5,0.234,0.055,0.115
0.55,0.234,0.065,0.115
0.6,0.234,0.065,0.115
0.65,0.244,0.075,0.115
0.7,0.234,0.075,0.115
0.75,0.244,0.075,0.115
0.8,0.234,0.075,0.115
0.85,0.234,0.065,0.115
0.9,0.234,0.075,0.115
0.95,0.244,0.065,0.125
1,0.234,0.065,0.125
1.05,0.244,0.075,0.135
1.1,0.234,0.075,0.145
1.15,0.244,0.065,0.145
1.2,0.244,0.075,0.145
1.25,0.244,0.075,0.135
1.3,0.244,0.075,0.145
1.35,0.244,0.075,0.145
1.4,0.254,0.075,0.145
1.45,0.254,0.075,0.145
1.5,0.254,0.075,0.145
1.55,0.254,0.075,0.145
1.6,0.254,0.075,0.145
1.65,0.254,0.075,0.145
1.7,0.254,0.075,0.145
1.75,0.264,0.075,0.145
1.8,0.264,0.075,0.145
1.85,0.274,0.075,0.145
1.9,0.264,0.085,0.145
1.95,0.264,0.075,0.155
2,0.264,0.045,0.155
2.05,0.264,0.075,0.145
2.1,0.274,0.065,0.155
2.15,0.274,0.075,0.155
2.2,0.284,0.075,0.155
2.25,0.284,0.075,0.155
2.3,0.294,0.075,0.155
2.35,0.304,0.085,0.155
2.4,0.294,0.095,0.155
2.45,0.304,0.105,0.165
2.5,0.304,0.105,0.165
2.55,0.314,0.115,0.165
2.6,0.314,0.095,0.175
2.65,0.324,0.135,0.175
2.7,0.324,0.175,0.175
2.75,0.324,0.205,0.185
2.8,0.324,0.235,0.185
2.85,0.334,0.305,0.175
2.9,0.374,0.325,0.175
2.95,0.394,0.335,0.175
3,0.404,0.335,0.165
3.05,0.424,0.335,0.165
3.1,0.444,0.335,0.175
3.15,0.444,0.335,0.175
3.2,0.434,0.335,0.165
3.25,0.434,0.345,0.175
3.3,0.424,0.335,0.175
3.35,0.424,0.345,0.175
3.4,0.424,0.335,0.175
3.45,0.424,0.355,0.185
3.5,0.424,0.345,0.195
3.55,0.424,0.355,0.225
3.6,0.424,0.355,0.255
3.65,0.434,0.355,0.265
3.7,0.444,0.355,0.285
3.75,0.454,0.355,0.285
3.8,0.474,0.365,0.285
3.85,0.484,0.365,0.295
3.9,0.484,0.365,0.295
3.95,0.494,0.365,0.295
4,0.494,0.355,0.295
4.05,0.494,0.355,0.295
4.1,0.494,0.355,0.295
4.15,0.494,0.355,0.305
4.2,0.484,0.365,0.305
4.25,0.494,0.355,0.305
4.3,0.494,0.365,0.305
4.35,0.504,0.355,0.315
4.4,0.494,0.365,0.315
4.45,0.504,0.365,0.335
4.5,0.504,0.375,0.355
4.55,0.504,0.365,0.375
4.6,0.504,0.375,0.375
4.65,0.514,0.385,0.375
4.7,0.514,0.395,0.375
4.75,0.514,0.415,0.365
4.8,0.514,0.425,0.355
4.85,0.514,0.455,0.355
4.9,0.514,0.455,0.355
4.95,0.514,0.465,0.355
5,0.514,0.465,0.355
5.05,0.514,0.465,0.355
5.1,0.514,0.475,0.355
5.15,0.514,0.485,0.365
5.2,0.504,0.495,0.375
5.25,0.504,0.495,0.385
5.3,0.504,0.495,0.385
5.35,0.494,0.495,0.385
5.4,0.484,0.495,0.385
5.45,0.484,0.495,0.385
5.5,0.484,0.495,0.385
5.55,0.484,0.505,0.385
5.6,0.474,0.505,0.395
5.65,0.474,0.495,0.385
5.7,0.464,0.495,0.395
5.75,0.464,0.505,0.385
5.8,0.454,0.495,0.405
5.85,0.454,0.495,0.395
5.9,0.444,0.495,0.395
5.95,0.434,0.485,0.395
6,0.434,0.475,0.395
6.05,0.434,0.465,0.405
6.1,0.424,0.455,0.405
6.15,0.424,0.455,0.405
6.2,0.424,0.445,0.405
6.25,0.424,0.435,0.405
6.3,0.424,0.435,0.395
6.35,0.424,0.425,0.395
6.4,0.414,0.425,0.395
6.45,0.424,0.425,0.395
6.5,0.424,0.415,0.385
6.55,0.424,0.405,0.385
6.6,0.424,0.405,0.385
6.65,0.424,0.395,0.375
6.7,0.424,0.385,0.375
6.75,0.424,0.375,0.375
6.8,0.414,0.395,0.375
6.85,0.414,0.365,0.375
6.9,0.404,0.345,0.375
6.95,0.404,0.335,0.365
7,0.404,0.305,0.365
7.05,0.404,0.285,0.365
7.1,0.404,0.275,0.365
7.15,0.424,0.265,0.365
7.2,0.424,0.265,0.365
7.25,0.424,0.275,0.365
7.3,0.424,0.285,0.355
7.35,0.434,0.265,0.355
7.4,0.434,0.275,0.355
7.45,0.434,0.275,0.355
7.5,0.424,0.275,0.355
7.55,0.414,0.275,0.345
7.6,0.404,0.295,0.345
7.65,0.394,0.325,0.345
7.7,0.384,0.345,0.345
7.75,0.384,0.355,0.355
7.8,0.374,0.365,0.345
7.85,0.374,0.375,0.345
7.9,0.364,0.375,0.335
7.95,0.374,0.365,0.325
8,0.364,0.375,0.305
8.05,0.364,0.365,0.295
8.1,0.364,0.365,0.295
8.15,0.354,0.355,0.285
8.2,0.354,0.355,0.265
8.25,0.354,0.365,0.255
8.3,0.354,0.375,0.225
8.35,0.354,0.365,0.225
8.4,0.354,0.365,0.215
8.45,0.354,0.355,0.215
