r/R    c/R     Pitch(deg)  t/c % (thickness/chord length) 
0.2  ,   0.125  , 15    ,  24    
0.25 ,   0.1203 , 12.1  ,  22.5
0.3  ,   0.1156 , 9.5   ,  20.7        
0.35 ,   0.1109 , 7.6   ,  19.5
0.4  ,   0.1063 , 6.1   ,  18.7
0.45 ,   0.1016 , 4.9   ,  18.1
0.5  ,   0.0969 , 3.9   ,  17.6
0.55 ,   0.0922 , 3.1   ,  17.1    
0.6  ,   0.0875 , 2.4   ,  16.6    
0.65 ,   0.0828 , 1.9   ,  16.1    
0.7  ,   0.0781 , 1.5   ,  15.6
0.75 ,   0.0734 , 1.2   ,  15.1
0.8  ,   0.0688 , 0.9   ,  14.6
0.85 ,   0.0641 , 0.6   ,  14.1    
0.9  ,   0.0594 , 0.4   ,  13.6
0.95 ,   0.0547 , 0.2   ,  13.1
1.0  ,   0.05   , 0.0   ,  12.6
